CPUs: 192
Tuning rounds (3x grid): [5, 1, 2]

============================================================
R5: settle_rate=0.119, 5 seeds
============================================================
150000 combos x 5 seeds x 30 MC (coarse)
  [ 87552/150000] 58%  1086s  ETA 775s  best=71.7
  [ 87936/150000] 59%  1091s  ETA 770s  best=71.7
  [ 88320/150000] 59%  1095s  ETA 765s  best=71.7
  [ 88704/150000] 59%  1100s  ETA 760s  best=71.7
  [ 89088/150000] 59%  1105s  ETA 755s  best=71.7
  [ 89472/150000] 60%  1109s  ETA 750s  best=71.7
  [ 89856/150000] 60%  1114s  ETA 746s  best=71.7
  [ 90240/150000] 60%  1119s  ETA 741s  best=71.7
  [ 90624/150000] 60%  1124s  ETA 736s  best=71.7
  [ 91008/150000] 61%  1128s  ETA 731s  best=71.7
  [ 91392/150000] 61%  1133s  ETA 726s  best=71.7
  [ 91776/150000] 61%  1138s  ETA 722s  best=71.7
  [ 92160/150000] 61%  1142s  ETA 717s  best=71.7
  [ 92544/150000] 62%  1147s  ETA 712s  best=71.7
  [ 92928/150000] 62%  1152s  ETA 707s  best=71.7
  [ 93312/150000] 62%  1156s  ETA 702s  best=71.7
  [ 93696/150000] 62%  1161s  ETA 698s  best=71.7
  [ 94080/150000] 63%  1166s  ETA 693s  best=71.7
  [ 94464/150000] 63%  1170s  ETA 688s  best=71.7
  [ 94848/150000] 63%  1175s  ETA 683s  best=71.7
  [ 95232/150000] 63%  1180s  ETA 679s  best=71.7
  [ 95616/150000] 64%  1185s  ETA 674s  best=71.7
  [ 96000/150000] 64%  1189s  ETA 669s  best=71.7
  [ 96384/150000] 64%  1194s  ETA 664s  best=71.7
  [ 96768/150000] 65%  1199s  ETA 659s  best=71.7
  [ 97152/150000] 65%  1203s  ETA 655s  best=71.7
  [ 97536/150000] 65%  1208s  ETA 650s  best=71.7
  [ 97920/150000] 65%  1213s  ETA 645s  best=71.7
  [ 98304/150000] 66%  1217s  ETA 640s  best=71.7
  [ 98688/150000] 66%  1222s  ETA 635s  best=71.7
  [ 99072/150000] 66%  1227s  ETA 631s  best=71.7
  [ 99456/150000] 66%  1231s  ETA 626s  best=71.7
  [ 99840/150000] 67%  1236s  ETA 621s  best=71.7
  [100224/150000] 67%  1241s  ETA 616s  best=71.7
  [100608/150000] 67%  1245s  ETA 611s  best=71.7
  [100992/150000] 67%  1250s  ETA 607s  best=71.7
  [101376/150000] 68%  1255s  ETA 602s  best=71.7
  [101760/150000] 68%  1259s  ETA 597s  best=71.7
  [102144/150000] 68%  1264s  ETA 592s  best=71.7
  [102528/150000] 68%  1269s  ETA 587s  best=71.7
  [102912/150000] 69%  1273s  ETA 583s  best=71.7
  [103296/150000] 69%  1278s  ETA 578s  best=71.7
  [103680/150000] 69%  1283s  ETA 573s  best=71.7
  [104064/150000] 69%  1288s  ETA 568s  best=71.7
  [104448/150000] 70%  1292s  ETA 564s  best=71.7
  [104832/150000] 70%  1297s  ETA 559s  best=71.7
  [105216/150000] 70%  1302s  ETA 554s  best=71.7
  [105600/150000] 70%  1306s  ETA 549s  best=71.7
  [105984/150000] 71%  1311s  ETA 545s  best=71.7
  [106368/150000] 71%  1316s  ETA 540s  best=71.7
  [106752/150000] 71%  1320s  ETA 535s  best=71.7
  [107136/150000] 71%  1325s  ETA 530s  best=71.7
  [107520/150000] 72%  1330s  ETA 525s  best=71.7
  [107904/150000] 72%  1335s  ETA 521s  best=71.7
  [108288/150000] 72%  1339s  ETA 516s  best=71.7
  [108672/150000] 72%  1344s  ETA 511s  best=71.7
  [109056/150000] 73%  1349s  ETA 506s  best=71.7
  [109440/150000] 73%  1354s  ETA 502s  best=71.7
  [109824/150000] 73%  1358s  ETA 497s  best=71.7
  [110208/150000] 73%  1363s  ETA 492s  best=71.7
  [110592/150000] 74%  1368s  ETA 487s  best=71.7
  [110976/150000] 74%  1373s  ETA 483s  best=71.7
  [111360/150000] 74%  1377s  ETA 478s  best=71.7
  [111744/150000] 74%  1382s  ETA 473s  best=71.7
  [112128/150000] 75%  1387s  ETA 468s  best=71.7
  [112512/150000] 75%  1391s  ETA 464s  best=71.7
  [112896/150000] 75%  1396s  ETA 459s  best=71.7
  [113280/150000] 76%  1401s  ETA 454s  best=71.7
  [113664/150000] 76%  1405s  ETA 449s  best=71.8
  [114048/150000] 76%  1410s  ETA 445s  best=71.8
  [114432/150000] 76%  1415s  ETA 440s  best=71.8
  [114816/150000] 77%  1420s  ETA 435s  best=71.8
  [115200/150000] 77%  1424s  ETA 430s  best=71.8
  [115584/150000] 77%  1429s  ETA 425s  best=71.8
  [115968/150000] 77%  1434s  ETA 421s  best=71.8
  [116352/150000] 78%  1438s  ETA 416s  best=71.8
  [116736/150000] 78%  1443s  ETA 411s  best=71.8
  [117120/150000] 78%  1448s  ETA 406s  best=71.8
  [117504/150000] 78%  1453s  ETA 402s  best=71.8
  [117888/150000] 79%  1457s  ETA 397s  best=71.8
  [118272/150000] 79%  1462s  ETA 392s  best=71.8
  [118656/150000] 79%  1467s  ETA 387s  best=71.8
  [119040/150000] 79%  1472s  ETA 383s  best=71.8
  [119424/150000] 80%  1476s  ETA 378s  best=71.8
  [119808/150000] 80%  1481s  ETA 373s  best=71.8
  [120192/150000] 80%  1486s  ETA 368s  best=71.8
  [120576/150000] 80%  1491s  ETA 364s  best=71.8
  [120960/150000] 81%  1495s  ETA 359s  best=71.8
  [121344/150000] 81%  1500s  ETA 354s  best=71.8
  [121728/150000] 81%  1505s  ETA 350s  best=71.8
  [122112/150000] 81%  1510s  ETA 345s  best=71.8
  [122496/150000] 82%  1514s  ETA 340s  best=71.8
  [122880/150000] 82%  1519s  ETA 335s  best=71.8
  [123264/150000] 82%  1524s  ETA 331s  best=71.8
  [123648/150000] 82%  1529s  ETA 326s  best=71.8
  [124032/150000] 83%  1533s  ETA 321s  best=71.8
  [124416/150000] 83%  1538s  ETA 316s  best=71.8
  [124800/150000] 83%  1543s  ETA 311s  best=71.8
  [125184/150000] 83%  1547s  ETA 307s  best=71.8
  [125568/150000] 84%  1552s  ETA 302s  best=71.8
  [125952/150000] 84%  1557s  ETA 297s  best=71.8
  [126336/150000] 84%  1562s  ETA 293s  best=71.8
  [126720/150000] 84%  1566s  ETA 288s  best=71.8
  [127104/150000] 85%  1571s  ETA 283s  best=71.8
  [127488/150000] 85%  1576s  ETA 278s  best=71.8
  [127872/150000] 85%  1580s  ETA 273s  best=71.8
  [128256/150000] 86%  1585s  ETA 269s  best=71.8
  [128640/150000] 86%  1590s  ETA 264s  best=71.8
  [129024/150000] 86%  1594s  ETA 259s  best=71.8
  [129408/150000] 86%  1599s  ETA 254s  best=71.8
  [129792/150000] 87%  1604s  ETA 250s  best=71.8
  [130176/150000] 87%  1609s  ETA 245s  best=71.8
  [130560/150000] 87%  1613s  ETA 240s  best=71.8
  [130944/150000] 87%  1618s  ETA 235s  best=71.8
  [131328/150000] 88%  1623s  ETA 231s  best=71.8
  [131712/150000] 88%  1628s  ETA 226s  best=71.8
  [132096/150000] 88%  1632s  ETA 221s  best=71.8
  [132480/150000] 88%  1637s  ETA 217s  best=71.8
  [132864/150000] 89%  1642s  ETA 212s  best=71.8
  [133248/150000] 89%  1647s  ETA 207s  best=71.8
  [133632/150000] 89%  1651s  ETA 202s  best=71.8
  [134016/150000] 89%  1656s  ETA 198s  best=71.8
  [134400/150000] 90%  1661s  ETA 193s  best=71.8
  [134784/150000] 90%  1666s  ETA 188s  best=71.8
  [135168/150000] 90%  1671s  ETA 183s  best=71.8
  [135552/150000] 90%  1675s  ETA 179s  best=71.8
  [135936/150000] 91%  1680s  ETA 174s  best=71.8
  [136320/150000] 91%  1685s  ETA 169s  best=71.8
  [136704/150000] 91%  1690s  ETA 164s  best=71.8
  [137088/150000] 91%  1695s  ETA 160s  best=71.8
  [137472/150000] 92%  1699s  ETA 155s  best=71.8
  [137856/150000] 92%  1704s  ETA 150s  best=71.8
  [138240/150000] 92%  1709s  ETA 145s  best=71.8
  [138624/150000] 92%  1713s  ETA 141s  best=71.8
  [139008/150000] 93%  1718s  ETA 136s  best=71.8
  [139392/150000] 93%  1723s  ETA 131s  best=71.8
  [139776/150000] 93%  1728s  ETA 126s  best=71.8
  [140160/150000] 93%  1732s  ETA 122s  best=71.8
  [140544/150000] 94%  1737s  ETA 117s  best=71.8
  [140928/150000] 94%  1742s  ETA 112s  best=71.8
  [141312/150000] 94%  1747s  ETA 107s  best=71.8
  [141696/150000] 94%  1751s  ETA 103s  best=71.8
  [142080/150000] 95%  1756s  ETA 98s  best=71.8
  [142464/150000] 95%  1761s  ETA 93s  best=71.8
  [142848/150000] 95%  1766s  ETA 88s  best=71.8
  [143232/150000] 95%  1770s  ETA 84s  best=71.8
  [143616/150000] 96%  1775s  ETA 79s  best=71.8
  [144000/150000] 96%  1780s  ETA 74s  best=71.8
  [144384/150000] 96%  1784s  ETA 69s  best=71.8
  [144768/150000] 97%  1789s  ETA 65s  best=71.8
  [145152/150000] 97%  1794s  ETA 60s  best=71.8
  [145536/150000] 97%  1798s  ETA 55s  best=71.8
  [145920/150000] 97%  1803s  ETA 50s  best=71.8
  [146304/150000] 98%  1808s  ETA 46s  best=71.8
  [146688/150000] 98%  1813s  ETA 41s  best=71.8
  [147072/150000] 98%  1818s  ETA 36s  best=71.8
  [147456/150000] 98%  1822s  ETA 31s  best=71.8
  [147840/150000] 99%  1827s  ETA 27s  best=71.8
  [148224/150000] 99%  1832s  ETA 22s  best=71.8
  [148608/150000] 99%  1836s  ETA 17s  best=71.8
  [148992/150000] 99%  1841s  ETA 12s  best=71.8
  [149376/150000] 100%  1846s  ETA 8s  best=71.8
  [149760/150000] 100%  1850s  ETA 3s  best=71.8
  [150000/150000] 100%  1854s  ETA 0s  best=71.8

Deep eval top 10 (500 MC)...
  [1/10] avg=87.8  seeds=['87.9', '86.9', '88.8', '87.5', '88.0']
  [2/10] avg=87.5  seeds=['88.0', '87.3', '88.3', '86.7', '87.2']
  [3/10] avg=87.2  seeds=['87.4', '86.6', '87.9', '86.9', '87.2']
  [4/10] avg=86.9  seeds=['86.9', '86.5', '87.6', '86.7', '86.9']
  [5/10] avg=86.7  seeds=['87.1', '86.7', '87.3', '85.8', '86.5']
  [6/10] avg=86.8  seeds=['87.1', '86.6', '87.5', '85.9', '86.9']
  [7/10] avg=86.5  seeds=['87.1', '86.7', '87.0', '85.4', '86.4']
  [8/10] avg=86.4  seeds=['87.0', '86.6', '87.1', '85.4', '86.1']
  [9/10] avg=86.3  seeds=['87.1', '86.6', '86.7', '85.1', '86.0']
  [10/10] avg=86.1  seeds=['86.9', '86.8', '86.4', '85.1', '85.6']

R5 BEST: 87.8
  death_base_rate=0.01
  death_food_factor=0.04
  food_base_regen=0.18
  food_competition=0.03
  food_forest_bonus=0.06
  food_pop_drain=0.1
  pop_growth_rate=0.06
  port_prob=0.08
  port_survival_bonus=0.02
  spawn_pop_threshold=0.7
  spawn_prob=0.12
R5: NEW BEST 87.8 (was 83.9)

============================================================
R1: settle_rate=0.152, 5 seeds
============================================================
150000 combos x 5 seeds x 30 MC (coarse)
  [   384/150000] 0%  10s  ETA 4055s  best=70.5
  [   768/150000] 1%  20s  ETA 3856s  best=70.6
  [  1152/150000] 1%  29s  ETA 3699s  best=70.6
  [  1536/150000] 1%  37s  ETA 3621s  best=70.6
  [  1920/150000] 1%  45s  ETA 3497s  best=70.6
  [  2304/150000] 2%  53s  ETA 3421s  best=70.6
  [  2688/150000] 2%  61s  ETA 3323s  best=70.6
  [  3072/150000] 2%  68s  ETA 3248s  best=70.7
  [  3456/150000] 2%  74s  ETA 3157s  best=70.7
  [  3840/150000] 3%  81s  ETA 3074s  best=70.7
  [  4224/150000] 3%  87s  ETA 2996s  best=70.7
  [  4608/150000] 3%  93s  ETA 2921s  best=70.7
  [  4992/150000] 3%  98s  ETA 2841s  best=70.7
  [  5376/150000] 4%  103s  ETA 2779s  best=71.1
  [  5760/150000] 4%  109s  ETA 2726s  best=71.1
  [  6144/150000] 4%  114s  ETA 2673s  best=71.1
  [  6528/150000] 4%  120s  ETA 2627s  best=71.1
  [  6912/150000] 5%  125s  ETA 2590s  best=71.1
  [  7296/150000] 5%  130s  ETA 2547s  best=71.1
  [  7680/150000] 5%  136s  ETA 2512s  best=71.1
  [  8064/150000] 5%  141s  ETA 2477s  best=71.1
  [  8448/150000] 6%  146s  ETA 2441s  best=71.1
  [  8832/150000] 6%  151s  ETA 2410s  best=71.1
  [  9216/150000] 6%  156s  ETA 2384s  best=71.1
  [  9600/150000] 6%  161s  ETA 2354s  best=71.1
  [  9984/150000] 7%  166s  ETA 2328s  best=71.1
  [ 10368/150000] 7%  171s  ETA 2303s  best=71.1
  [ 10752/150000] 7%  176s  ETA 2280s  best=71.1
  [ 11136/150000] 7%  181s  ETA 2260s  best=71.1
  [ 11520/150000] 8%  186s  ETA 2239s  best=71.1
  [ 11904/150000] 8%  191s  ETA 2218s  best=71.1
  [ 12288/150000] 8%  196s  ETA 2199s  best=71.1
  [ 12672/150000] 8%  201s  ETA 2180s  best=71.1
  [ 13056/150000] 9%  206s  ETA 2162s  best=71.1
  [ 13440/150000] 9%  211s  ETA 2146s  best=71.1
  [ 13824/150000] 9%  216s  ETA 2128s  best=71.1
  [ 14208/150000] 9%  221s  ETA 2113s  best=71.1
  [ 14592/150000] 10%  226s  ETA 2097s  best=71.1
